infinitive	yo	stem change	stem	English
agraviar	-ío	i-í	agraví	to offend, outrage, hurt, wrong, injure
agriar	-ío	i-í	agrí	to sour, embitter, turn sour
aliar	-ío	i-í	alí	to ally, league, unite
amnistiar	-ío	i-í	amnistí	to amnesty
amplifiar	-ío	i-í	amplifí	to amplify, magnify, extend
arriar	-ío	i-í	arrí	to lower, strike (boat), to flood, be flooded
cariar	-ío	i-í	carí	to cause cavities, decay
confiar	-ío	i-í	confí	to confide, trust, rely
contrariar	-ío	i-í	contrarí	to oppose, thwart, run counter to
criar	-ío	i-í	crí	to create, nurse, raise, rear, breed
chirriar	-ío	i-í	chirrí	to hiss, sizzle, chirp, screech, squeak
desafiar	-ío	i-í	desafí	to challenge, dare, rival
descarriar	-ío	i-í	descarrí	to mislead, lead astray, to go wrong
desconfiar	-ío	i-í	desconfí	to mistrust, distrust, lack confidence in
desviar	-ío	i-í	desví	to deviate, deflect, swerve, turn away
enfriar	-ío	i-í	enfrí	to cool, make cool, get chilled
enviar	-ío	i-í	enví	to send
espiar	-ío	i-í	espí	to spy, spy on
esquiar	-ío	i-í	esquí	to ski
expatriar	-ío	i-í	expatrí	to expatriate, leave one's country
fiar	-ío	i-í	fí	to answer for, bail, entrust, confide
fotografiar	-ío	i-í	fotografí	to photograph, take pictures
guiar	-ío	i-í	guí	to guide, lead
historiar	-ío	i-í	historí	to depict (history), write down a history
inventariar	-ío	i-í	inventarí	to inventory
liar	-ío	i-í	lí	to tie, bind, tie up, wrap up
obviar	-ío	i-í	obví	to obviate, remove, surmount
paliar	-ío	i-í	palí	to pale	
piar	-ío	i-í	pí	to chirp, peep
porfiar	-ío	i-í	porfí	to insist, persist
repatriar	-ío	i-í	repatrí	to repatriate, return to one's country
resfriar	-ío	i-í	resfrí	to cool, chill, grow cold
rociar	-ío	i-í	rocí	to dew, spray, sprinkle
telegrafiar	-ío	i-í	telegrafí	to telegraph
vaciar	-ío	i-í	vací	to empty
variar	-ío	i-í	varí	to alter, vary, change
zurriar	-ío	i-í	zurrí	to buzz, whirr
