infinitive	stem change	yo	subj stem	preterite	future	English
ceñir	e-i		ciñ-	3rd e-i ñó-ñe		to fit
comedirse	e-i		comid-	3rd e-i		to restrain, control oneself, be moderate
competir	e-i		compit-	3rd e-i		to compete
concebir	e-i		concib-	3rd e-i		to conceive, imagine, think
conseguir	e-i		consig-	3rd e-i		to acquire, get, come across, manage
contradecir	e-i	-go	contradig-	contradij-		to contradict
corregir	e-i	-jo	corrij-	3rd e-i		to correct
decir	e-i	-go	dig-	dij-	dir-	to say, tell
derretir	e-i		derrit-	3rd e-i		to melt, liquefy, thaw
despedir	e-i		despid-	3rd e-i		to say goodbye, bid adieu, emit, discharge, set forth, dismiss, give notice
desteñir	e-i		destiñ-	3rd e-i ñó-ñe		to fade
desvestir	e-i		desvist-	3rd e-i		to undress
elegir	e-i	-jo	elij-	3rd e-i		to elect, select, choose
embestir	e-i		embist-	3rd e-i		to attack
engreir	e-i	-ío	engrí-	3rd e-i		to spoil, make vain or conceited
estreñir	e-i		estriñ-	3rd e-i ñó-ñe		to constipate
expedir	e-i		expid-	3rd e-i		to send, expedite
freír	e-i	-ío	frí-	3rd e-i		to fry
gemir	e-i		gim-	3rd e-i		to moan, groam
impedir	e-i		impid-	3rd e-i		to impede
investir	e-i		invist-	3rd e-i		to invest, endow, establish (legally)
maldecir	e-i	-go	maldig-	maldij-		to curse, cuss
medir	e-i		mid-	3rd e-i		to measure
pedir	e-i		pid-	3rd e-i		to request, ask for
perseguir	e-i		persig-	3rd e-i		to pursue, chase, hunt down, persecute
predecir	e-i	-go	predig-	predij-		to predict, foretell, forecast
proseguir	e-i		prosig-	3rd e-i		to continue, proceed with
reelegir	e-i	-jo	reelij-	3rd e-i		to reelect
reexpedir	e-i		reexpid-	3rd e-i		to reissue
regir	e-i	-jo	rij-	3rd e-i		to rule, govern, be in charge of, reign
reír	e-i	-ío	rí-	3rd e-i		to laugh
rendir	e-i		rind-	3rd e-i		to render, conquer, subdue, deliver, give up, fatigue, exhaust, wear out, yield, bring
reñir	e-i		riñ-	3rd e-i ñó-ñe		to quarrel, fight, scold, tell off, reprimand
repetir	e-i		repit-	3rd e-i		to repeat
revestir	e-i		revist-	3rd e-i		to dress up the walls, decorate
seguir	e-i		sig-	3rd e-i		to follow, continue
servir	e-i		sirv-	3rd e-i		to serve
sonreír	e-i	-ío	sonrí-	3rd e-i		to smile
subseguir	e-i		subsig-	3rd e-i		to follow next, be subsequent
teñir	e-i		tiñ-	3rd e-i ñó-ñe		to dye, color, stain, tinge
trasgredir	e-i		trasgrid-	3rd e-i		to transgress, break, violate
vestir	e-i		vist-	3rd e-i		to dress, get dressed
